twitter,name
matthewakraft,"Kraft, Matthew"
kaufmanndani,"Kaufmann, Daniel"
andrzejklimczuk,"Klimczuk, Andrzej"
maritkragt,"Kragt, Marit Ellen"
annkayiskumar,"Kayis-Kumar, Ann"
jens__klose,"Klose, Jens"
lisakramer,"Kramer, Lisa"
kearney_melissa,"Kearney, Melissa Schettini"
thijsknaap,"Knaap, Thijs"
matthiaskrapf,"Krapf, Matthias"
profstevekeen,"Keen, Steve"
gundiknies,"Knies, Gundi"
okrasnopjorov,"Krasnopjorov, Oleg"
andrewkeinsley,"Keinsley, Andrew"
magratheantimes,"Kocher, Martin Georg"
alan_krueger,"Krueger, Alan"
kingofthebongo,"Kelchtermans, Stijn"
kocherlakota009,"Kocherlakota, Narayana"
paulkrugman,"Krugman, Paul"
ckemfert,"Kemfert, Claudia"
laszlokoczy,"Kóczy, László"
ksc_rao,"Ks, Chalapati Rao"
kendalljkennedy,"Kennedy, Kendall"
davidkohn_16,"Kohn, David"
elirakuka,"Kuka, Elira"
charlesjkenny,"Kenny, Charles James"
statstas,"Kolenikov, Stanislav"
psenthi98876944,"Kumar, P.Senthil"
markkersen,"Kerssenfischer, Mark"
tom_kompas,"Kompas, Tom"
jankunnas,"Kunnas, Jan"
chrisketels,"Ketels, Christian H."
fkondylis,"Kondylis, Florence"
atkuriakose,"Kuriakose, Anne"
sami2139,"Khan, Sami"
wwwojtekk,"Kopczuk, Wojciech"
ingridharvold,"Kvangraven, Ingrid Harvold"
martalachowska,"Lachowska, Marta"
remylecat,"Lecat, Remy"
anlopez1962,"López, Andrés"
santiagolagop,"Lago-Peñas, Santiago"
viktoroledenyov,"Ledenyov, Viktor Olegovich"
ric4rdol,"López, Ricardo"
aeimit,"Lakdawala, Aeimit"
dlee37,"Lee, Daniel"
gladyslopezwb,"Lopez Acevedo, Gladys Cristina"
kamallamichhan,"Lamichhane, Kamal"
V_Lespagnol,"Le Gall, Rémi"
cristinalmn,"Lopez-Mayan, Cristina"
4lexlammers,"Lammers, Alexander"
etiennelehmanne,"Lehmann, Etienne"
andreasloeschel,"Löschel, Andreas"
neillancastle,"Lancastle, Neil"
leibovicif,"Leibovici, Fernando"
rodriguesloures,"Loures, Alexandre"
straightedge,"Lane, Nathaniel"
florian_leon,"Leon, Florian"
profalucas,"Lucas, Adrienne M"
d_langenmayr,"Langenmayr, Dominika Irma"
jmarkleonard,"Leonard, Mark"
brianmlucey,"Lucey, Brian"
samlangfield,"Langfield, Sam"
timleunig,"Leunig, Tim"
claudiolucinda,"Lucinda, Claudio Ribeiro"
markkulanne,"Lanne, Markku"
andrewtlevin,"Levin, Andrew Theo"
paluck,"Luck, Philip Alexander"
vlarcinese,"Larcinese, Valentino"
philipilevy,"Levy, Philip"
ylucotte,"Lucotte, Yannick"
pmrlaroche,"Laroche, Patrice"
btleyden,"Leyden, Benjamin Thomas"
shellyjlundberg,"Lundberg, Shelly J"
clarroulet,"Larroulet Vignau, Cristian"
andreslib,"Liberman, Andres"
a_lusardi,"Lusardi, Annamaria"
maritalaukkanen,"Laukkanen, Marita"
gerardolicandro,"Licandro, Gerardo"
jaysonlusk,"Lusk, Jayson"
lucianolavecchi,"Lavecchia, Luciano"
jeffrlin,"Lin, Jeffrey"
ronanlyons,"Lyons, Ronan"
anne__lavigne,"Lavigne, Anne"
marco_jacopo,"Lombardi, Marco Jacopo"
andrew_leach,"Leach, Andrew"
juliana_londono,"Londoño-Vélez, Juliana"
econjoelmachado,"Machado Carneiro, Joël"
carlomate,"Maté, Carlos"
cokemp,"Miranda-Pinto, Jorge"
mmacis,"Macis, Mario"
matkovskyy,"Matkovskyy, Roman"
economirza,"Mirza, Daniel"
macpherson_da,"Macpherson, David"
matteraraffaele,"Mattera, Raffaele"
ant_mis1,"Missemer, Antoine"
mikemadowitz,"Madowitz, Michael"
ProfAlanMaynard,"Maynard, Alan"
m_ttm_,"Mitchell, Matthew"
ymadra,"Madra, Yahya Mete"
jjmccluskey,"McCluskey, Jill"
os_mitchell,"Mitchell, Olivia"
jacopomagnani,"Magnani, Jacopo"
mcgovern_me,"McGovern, Mark"
sorrytobekurt,"Mitman, Kurt"
mrmainelli,"Mainelli, Michael Raymond"
tmjmcgregor,"McGregor, Thomas"
modalsli,"Modalsli, Jørgen"
pmakdissi,"Makdissi, Paul"
dmckenzie001,"McKenzie, David"
jarlenhh,"Møen, Jarle"
mikemakowsky,"Makowsky, Michael Douglas"
marcelo_meds,"Medeiros, Marcelo"
kamiarmohaddes,"Mohaddes, Kamiar"
maliranta,"Maliranta, Mika"
carlosmedinad,"Medina, Carlos"
vahidestan,"Mohamad Taghvaee, Vahid"
jmalizard,"Malizard, Julien"
kelbesamegersa,"Megersa, Kelbesa Abdisa"
moheyuddin,"Mohey-ud-din, Ghulam"
miguel_a_malo,"Malo, Miguel"
rrahulmehrotra,"Mehrotra, Rahul"
benoitmojon,"Mojon, Benoit"
pmanasse,"Manasse, Paolo"
cmicmeissner,"Meissner, Christopher"
oswaldomolinac,"Molina, Oswaldo"
lucia_mangiavac,"Mangiavacchi, Lucia"
isabellemejean,"Mejean, Isabelle Jeanne"
lmonasterio,"Monasterio, Leonardo Monteiro"
petemaniloff,"Maniloff, Peter"
danielmejial,"Mejia, Daniel"
chrmongeau,"Mongeau Ospina, Christian Alexander"
gregmankiwblog,"Mankiw, N. Gregory"
franciscome,"Mejia, Francisco"
abmoniz,"Moniz, António Brandão"
clmannecon,"Mann, Catherine"
javiermejiac,"Mejia, Javier"
monneteric,"Monnet, Eric"
ymansur,"Mansur, Yusuf"
luisfermejia,"Mejía, Luis-Fernando"
salvatoremonni,"Monni, Salvatore"
PMantalos,"Mantalos, Panagiotis"
antoniomele101,"Mele, Antonio"
pierre_monnin,"Monnin, Pierre"
mioana,"Marinescu, Ioana Elena"
melendezmarcela,"Meléndez, Marcela"
mgf91,"Monroy-Gómez-Franco, Luis Angel"
marcomariniuni,"Marini, Marco"
angelmelguizo,"Melguizo, Angel"
moralesmeoqui,"Morales Meoqui, Jorge"
dalimarouani,"Marouani, Mohamed Ali"
fabinmendez,"Mendez Ramos, Fabian"
mmesquitam,"Moreira, Mauricio Mesquita"
ale_marquez,"Márquez-Velázquez, Alejandro"
gibmetcalf,"Metcalf, Gilbert"
_marameo_,"Morini, Matteo"
thomaslmarsh1,"Marsh, Thomas"
rdmetcalfe,"Metcalfe, Robert D"
moss_charles,"Moss, Charles B"
clementmarsilli,"Marsilli, Clément"
divisquin,"Meurs, Dominique"
grg_motta,"Motta, Giorgio"
martinph01,"Martin, Philippe"
bryanebryane,"Michael, Bryane"
benmouge,"Mougenot, Benoît"
andrewbmartinez,"Martinez, Andrew"
ericmicheels,"Micheels, Eric"
brent_moulton,"Moulton, Brent R"
izmartinez86,"Martínez, Isabel"
jomicheii,"Michell, Jo"
manumourlon,"Mourlon-Druol, Emmanuel"
monicambravo,"Martinez-Bravo, Monica"
tedmiguel,"Miguel, Edward Andrew"
dsmoxon,"Moxon, Drew"
martinei1,"Martínez-Zarzoso, Inmaculada"
gp_mihalache,"Mihalache, Gabriel"
sachsspeaks,"Mukherjee, Sacchidananda"
pmrsmartins,"Martins, Pedro"
reiju21jp,"Mihara, H. Reiju"
soumyatanumukhe,"Mukherjee, Soumyatanu"
fred_marty,"Marty, Frédéric"
miamikic,"Mikic, Mia"
noelmllr,"Muller, Noel"
bmarzinotto,"Marzinotto, Benedicta"
brankomilan,"Milanovic, Branko"
geooptimization,"Müller, Sven"
ilariainbxl,"Maselli, Ilaria"
helenmiller_ifs,"Miller, Helen"
prof_karthik_m,"Muralidharan, Karthik"
joshuafmask,"Mask, Joshua"
jben0,"Miller, Joshua Benjamin"
rumplestatskin,"Murray, Cameron"
joseluismasson,"Massón-Guerra, José Luis"
kevinmilligan,"Milligan, Kevin"
abhinaymuthoo,"Muthoo, Abhinay"
wamasters,"Masters, William Alan"
annaminasy,"Minasyan, Anna"
tnannicini,"Nannicini, Tommaso"
benoit_nguyen,"Nguyen, Benoît"
olniz,"Nizalova, Olena"
harunnasir,"Nasir, Harun"
lhnicholas,"Nicholas, Lauren Hersch"
alphynoah,"Noah, Alphonse"
iammaxnathan,"Nathan, Max"
gaetannicodeme,"Nicodème, Gaëtan"
hugonopo,"Ñopo, Hugo Rolando"
reynoldcnathan,"Nathanael, Reynold Christian"
paulfniehaus,"Niehaus, Paul"
mmarconov,"Novarese, Marco"
trilcenavarrete,"Navarrete, Trilce"
dnientiedt,"Nientiedt, Daniel"
dennisnovy,"Novy, Dennis"
noenavarro,"Navarro, Noemí"
milenkanik,"Nikolova, Milena"
paldnunes,"Nunes, Paulo"
chrisaneilson,"Neilson, Christopher Andrew"
tknilsso,"Nilsson, Tomas Karl Henrik"
nnunn99,"Nunn, Nathan"
mnriles01,"Nelson, Erik Jeremy"
nitschv,"Nitsch, Volker"
patricknuess,"Nüß, Patrick"
mariyaneycheva,"Neycheva, Mariya"
bichlernitzan,"Nitzan, Jonathan"
bogdan__oancea,"Oancea, Bogdan"
kimoosterlinck,"Oosterlinck, Kim"
amine_ouazad,"Ouazad, Amine"
ho2604,"Oberhofer, Harald"
kweku_oa,"Opoku-Agyemang, Kweku"
meadover,"Over, A. Mead"
17chob,"Oberst, Christian"
tonyorji1,"Orji, Anthony"
henryoverman,"Overman, Henry"
nonso2,"Obikili, Nonso"
kevinhorourke,"O'Rourke, Kevin Hjortshøj"
gokhanozertan,"Ozertan, Gokhan"
yukaohno_econ,"Ohno, Yuka"
eduardoortizj,"Ortiz-Juarez, Eduardo"
owenozier,"Ozier, Owen Whitfield"
fohtake,"Ohtake, Fumio"
amb3r12,"Osman, Amber"
modeledbehavior,"Ozimek, Adam"
bokuda,"Okuda, Boniface"
osorioisrael,"Osorio Rodarte, Israel"
ozkesali,"Ozkes, Ali"
iolivie,"Olivie Aldasoro, Iliana"
carlos_g_ospino,"Ospino, Carlos Gustavo"
berkozler12,"Özler, Berk"
marthaolney,"Olney, Martha"
lposterdal,"Østerdal, Lars Peter"
ilhanozturk,"Ozturk, Ilhan"
econlinks,"Ooms, Marius"
christianotchia,"Otchia, Christian Samen"
alessia_metrics,"Paccagnini, Alessia"
lucalln,"Pensieroso, Luca"
julienp_bsi,"Pinter, Julien"
analisapackham,"Packham, Analisa"
lbritespereira,"Pereira, Luis Brites"
pinzon_fuchs,"Pinzón-Fuchs, Erich"
page_eco,"Page, Lionel"
urbandemog,"Pereira, Rafael Henrique Moraes"
ppival,"Pival, Paul"
t_palivos,"Palivos, Theodore"
perezlevi,"Pérez, Levi"
plazasonia,"Plaza, Sonia"
spallage,"Pallage, Stephane"
yannick_perez,"Perez, Yannick"
maksympolyakov,"Polyakov, Maksym"
nunopgpalma,"Palma, Nuno"
vapercha,"Perez-Chamorro, Vicente"
dinapomeranz,"Pomeranz, Dina"
a40ruhr,"Paloyo, Alfredo"
laura_portiz,"Pérez Ortiz, Laura"
vinpons,"Pons, Vincent"
epaluzie,"Paluzie, Elisenda"
jorpppp,"Pérez Pérez, Jorge Eduardo"
porcherthomas,"Porcher, Thomas"
tpanagiotidis,"Panagiotidis, Theodore"
pereztruglia,"Perez-Truglia, Ricardo"
atrampm,"Portela, Marta"
enpancotti,"Pancotti, Elizabeth"
mathieuperona,"Perona, Mathieu"
econcath,"Porter, Catherine"
radhikaskp,"Pandey, Radhika"
salperri17,"Perri, Salvatore"
jdportes,"Portes, Jonathan"
jordipaniagua,"Paniagua, Jordi"
mariaperssonlu,"Persson, Maria"
fpjportier,"Portier, Franck"
upanizza,"Panizza, Ugo"
mikepesko,"Pesko, Michael"
cpossosu,"Posso, Christian Manuel"
papadiaandrea,"Papadia, Andrea"
peters_glen,"Peters, Glen P"
profjasonpotts,"Potts, Jason"
fmparejo,"Parejo Moruno, Francisco Manuel"
c_petraglia,"Petraglia, Carmelo"
j_pouget,"Pouget, Julien"
profjaparker,"Parker, Jonathan"
dennisjpetrie,"Petrie, Dennis James"
marcpourroy,"Pourroy, Marc"
japuneco79,"Parra-Polanía, Julián"
mpfarrho,"Pfarrhofer, Michael"
convexify,"Powell, Michael"
dc_parsley,"Parsley, David"
gregor_pfeifer,"Pfeifer, Gregor"
ldelaescosura,"Prados de la Escosura, Leandro"
danielepaserman,"Paserman, M. Daniele"
anhtho_pham,"Pham, Tho"
smr_humanities,"Prasad H C, Shiva"
evgenia_passari,"Passari, Evgenia"
EdmundPhelps,"Phelps, Edmund"
a_presbitero,"Presbitero, Andrea Filippo"
francpastore,"Pastore, Francesco"
richardpphelps,"Phelps, Richard"
ianppreston,"Preston, Ian Peter"
hpatrinos,"Patrinos, Harry Anthony"
mmpiatkowski,"Piatkowski, Marcin"
richardprice101,"Price, Richard"
gertpeersman,"Peersman, Gert"
giovapica,"Pica, Giovanni"
eugenioproto,"Proto, Eugenio"
thpeeter,"Peeters, Thomas"
lucapiccoli5,"Piccoli, Luca"
espry,"Prydz, Espen Beer"
apeichl,"Peichl, Andreas"
prof_pieters,"Pieters, Gina Christelle"
lpuchg,"Puch, Luis"
matteopela,"Pelagatti, Matteo Maria"
clpignatti,"Pignatti, Clemente"
epuentese,"Puentes, Esteban"
ppelk,"Pelkonen, Panu"
pikettylemonde,"Piketty, Thomas"
profdiegopuga,"Puga, Diego"
martinopelli,"Pelli, Martino"
v_pikkarainen,"Pikkarainen, Ville"
ricpuglisi,"Puglisi, Riccardo"
mpelli3,"Pelliccia, Marco"
pilatsti,"Pilat, Dirk"
ximena_pena,"Peña, Ximena"
alvespina,"Pina, Goncalo"
qngth,"Quang, Thérèse"
johnquiggin,"Quiggin, John"
javaeriaqureshi,"Qureshi, Javaeria Ashraf"
baquast,"Quast, Bastiaan Alexander"
pquirion1,"Quirion, Philippe"
robertarab,"Rabellotti, Roberta"
danielreiss,"Reiss, Daniel Gersten"
davideromelli,"Romelli, Davide"
nicholas_rada,"Rada, Nicholas Edward"
captaineco_fr,"Renault, Thomas"
romeroisidoro,"Romero, Isidoro"
econ_mtr,"Raddant, Matthias"
brandonbits,"Restrepo, Brandon"
fabien_rondeau,"Rondeau, Fabien"
mizanur2253,"Rahman, Mizanur"
jorgearestrepo,"Restrepo, Jorge Alberto"
michael_e_rose,"Rose, Michael Ernst"
sendhil_ramadas,"Ramadas, Sendhil"
paures12,"Restrepo-Echavarria, Paulina"
jlrosenbloom,"Rosenbloom, Joshua"
raulramosl,"Ramos, Raul"
helene_rey,"Rey, Helene"
rosendahlke,"Rosendahl, Knut Einar"
txusramos,"Ramos-Martin, Jesus"
jdanielreyes1,"Reyes, José-Daniel"
dale_rosenthal,"Rosenthal, Dale"
framospalencia,"Ramos-Palencia, Fernando"
luiscrh,"Reyes, Luis Carlos"
maxcroser,"Roser, Max"
tyleransom,"Ransom, Tyler"
alanreynoldsecn,"Reynolds, Alan"
sararosetaylor,"Rose Taylor, Sara"
mgrapetti,"Rapetti, Martin"
juanfeliperiano,"Riaño Rodríguez, Juan Felipe"
stevero48195125,"Ross, Stephen"
paulraschky,"Raschky, Paul Anton"
victorricciardi,"Ricciardi, Victor"
maximrossi,"Rossi, Maximo"
imranrasul3,"Rasul, Imran"
rafer77,"Riezman, Raymond"
renzorossini,"Rossini, Renzo"
rolandrathelot,"Rathelot, Roland"
maryrigdon,"Rigdon, Mary"
almostcertainly,"Rostam-Afschar, Davud"
MartinRavallion,"Ravallion, Martin"
dadomaltese,"Rigo, Davide"
davmicrot,"Rothschild, David"
s_hoveravn,"Ravn, Søren Hove"
dagfinnrime,"Rime, Dagfinn"
rotondivale,"Rotondi, Valentina"
panread,"Rawal, Vikas"
ulfrinne,"Rinne, Ulf"
thomroulet,"Roulet, Thomas"
saonray,"Ray, Saon"
kevinrinz,"Rinz, Kevin"
andrearoventini,"Roventini, Andrea"
reader_ma,"Reader, Mark Adrian"
riversnic,"Rivers, Nicholas"
macrowenick,"Rowe, Nicholas"
yolandarebollos,"Rebollo-Sanz, Yolanda"
barratree,"Roantree, Barra"
vicenteroyuela,"Royuela, Vicente"
arebucci1,"Rebucci, Alessandro"
jrobalinoecon,"Robalino, Juan"
jaredcrubin,"Rubin, Jared"
aredonda,"Redonda, Agustin"
jomroche,"Roche, Jose Manuel"
ruebeck,"Ruebeck, Christopher Spiegelman"
marisrege,"Rege, Mari"
lprochon,"Rochon, Louis-Philippe"
ruedatesta,"Rueda, Horacio"
mikybartoli,"Reggiani, Carlo"
rodriguez_pose,"Rodríguez-Pose, Andrés"
valiguaran,"Rueda, Valeria"
miriamrehm,"Rehm, Miriam"
rodrikdani,"Rodrik, Dani"
c_ruhm,"Ruhm, Christopher"
simonreif,"Reif, Simon"
olerogeberg,"Rogeberg, Ole"
horatiurus,"Rus, Horatiu"
carmenmreinhart,"Reinhart, Carmen"
krogoff,"Rogoff, Kenneth S"
albertorusso76,"Russo, Alberto"
hrreisen,"Reisen, Helmut"
luiserojasd,"Rojas, Luis"
arussophd,"Russo, Angeloantonio"
tsaarimaa,"Saarimaa, Tuukka"
matschnetzer,"Schnetzer, Matthias"
marcelsmolka,"Smolka, Marcel"
jaimesaavedra22,"Saavedra, Jaime"
wschpero,"Schpero, William"
djsnower,"Snower, Dennis"
martinhsaavedra,"Saavedra, Martin Hugo"
easchroeder,"Schroeder, Elizabeth"
fsobbrio,"Sobbrio, Francesco"
tarun_sabarwal,"Sabarwal, Tarun"
schubertdr,"Schubert, Christian"
macroxcs,"Sobrino, Cesar"
raffasadun,"Sadun, Raffaella"
jenny_schuetz,"Schuetz, Jenny"
aaronsojourner,"Sojourner, Aaron"
afsinsahin,"Sahin, Afsin"
jf_schulz,"Schulz, Jonathan"
msolignac,"Solignac, Matthieu"
claudia_sahm,"Sahm, Claudia"
rschwarze,"Schwarze, Reimund"
profsoliman,"Soliman, Ibrahim"
hermanhsahni,"Sahni, Herman"
pschweinzer,"Schweinzer, Paul"
dsolisagecon,"Solis, Daniel"
jgsahuc,"Sahuc, Jean-Guillaume"
SergioScicchi,"Scicchitano, Sergio"
olgasolleder,"Solleder, Olga"
xsalaimartin,"Sala-i-Martin, Xavier"
ajslondon1,"Scott, Andrew"
aparnasoni7,"Soni, Aparna"
senersalci,"Salci, Sener"
sedlarski,"Sedlarski, Teodor"
erikosorensen,"Sørensen, Erik"
joaco_saldain,"Saldain, Joaquín"
sarahgracesee,"See, Sarah Grace Cheng"
jd_sotod,"Soto Díaz, Juan Daniel"
francescosalust,"Salustri, Francesco"
juliaseiermann,"Seiermann, Julia"
rsoubeyran,"Soubeyran, Raphael"
pablofsalvador,"Salvador, Pablo"
sentancej,"Sentance, Jim"
amspence98,"Spence, A. Michael"
chrissampson87,"Sampson, Christopher James"
danilaserra_eco,"Serra, Danila"
g_spielvogel,"Spielvogel, Gilles"
alan_sanchezj,"Sanchez, Alan"
ilonaserwicka,"Serwicka, Ilona Elzbieta"
petrspodniak,"Spodniak, Petr"
vediense,"Sanchez, Juan"
rajivatbarnard,"Sethi, Rajiv"
jmspragg,"Spraggon, John Michael"
tiempoeconomico,"Sánchez-Juárez, Isaac"
bsevergnini,"Severgnini, Battista"
carlostagnaro,"Stagnaro, Carlo"
sanpages,"Sánchez-Pagés, Santiago"
bcshaffer,"Shaffer, Blake"
josephstaudt,"Staudt, Joseph"
blancasanchezr1,"Sanchez-Robles, Blanca"
sabershaker1982,"Shaker, Saber Adly"
w_steingress,"Steingress, Walter"
justinsandefur,"Sandefur, Justin"
philipshapira,"Shapira, Philip"
a_steinmayr,"Steinmayr, Andreas"
wsandholtz,"Sandholtz, Wayne Aaron"
benshepherdecon,"Shepherd, Ben"
art_market_econ,"Stepanova, Elena"
dhsandler,"Sandler, Danielle"
shepotylo,"Shepotylo, Oleksandr"
judyzara,"Stephenson, Judy"
marcosanfilip,"Sanfilippo, Marco"
parkersheppard,"Sheppard, Parker Wilson"
sterndavidi,"Stern, David Ian"
sansoneecon,"Sansone, Dario"
rshereme,"Sheremeta, Roman"
betseystevenson,"Stevenson, Betsey"
amsantacreu,"Santacreu, Ana Maria"
economics_bs,"Sheridan, Brandon"
hstichnoth,"Stichnoth, Holger"
hanksantarelli,"Santarelli, Enrico"
robertjshiller,"Shiller, Robert"
stierholz,"Stierholz, Katrina"
fabiogsanteramo,"Santeramo, Fabio Gaetano"
hyunsongshin,"Shin, Hyun Song"
JosephEStiglitz,"Stiglitz, Joseph"
miguelsantos12,"Santos, Miguel Angel"
khalidhasiddig,"Siddig, Khalid Hassan Ali"
d_f_stone,"Stone, Daniel Frederick"
ritasantos05,"Santos, Rita"
absidd,"Siddique, Abu"
lymanstoneky,"Stone, Lyman Robert"
santosmonteirop,"Santos Monteiro, Paulo"
rizwana_s99,"Siddiqui, Rizwana"
yanivst,"Stopnitzky, Yaniv"
csapkota,"Sapkota, Chandan"
olafsiegert,"Siegert, Olaf"
michaelrstrain,"Strain, Michael"
fsaraceno,"Saraceno, Francesco"
fransilvat,"Silva, Francisca"
marcstrausskahn,"Strauss-Kahn, Marc-Olivier"
is11pakistanis1,"Sarwar, Chaudhary Imran"
simardcasanova,"Simard-Casanova, Olivier"
yangkisuara,"Suara, Yangki Imade"
jansauermann,"Sauermann, Jan"
tarasinc,"Sinclair, Tara"
arvindsubraman,"Subramanian, Arvind"
yasusawada,"Sawada, Yasuyuki"
singhabhi,"Singh, Abhijeet"
jsuedekum,"Suedekum, Jens"
vschallehn,"Schallehn, Volker"
anushreesinha1,"Sinha, Anushree"
marysuiter1,"Suiter, Mary"
dickschefer,"Schefer, Ricardo"
kompalsinha,"Sinha, Kompal"
LHSummers,"Summers, Lawrence"
macariomx,"Schettino, Macario"
hanswernersinn,"Sinn, Hans-Werner"
leosven,"Svensson, Lars E."
wpschill,"Schill, Wolf-Peter"
isirkeci,"Sirkeci, Ibrahim"
laurensswinkels,"Swinkels, Laurens A."
tammyschirle,"Schirle, Tammy"
petesivey,"Sivey, Peter Mathew"
msykuta,"Sykuta, Michael"
isabel_schnabel,"Schnabel, Isabel"
ahmedskali,"Skali, Ahmed"
szarka,"Szarka, Robert"
drsnowtree,"Schneebaum, Alyssa"
slawatyniec,"Slawatyniec, Joanna Kinga"
u_szczerbowicz,"Szczerbowicz, Urszula"
ericbschneider,"Schneider, Eric"
davidslusky,"Slusky, David"
sszy,"Szymanski, Stefan"
econogonzo,"Schneider, Markus P."
aier_natalia,"Smirnova, Natalia"
hannaszymborska,"Szymborska, Hanna Karolina"
schnellenbachj,"Schnellenbach, Jan"
jonisaacsmith,"Smith, Jonathan"
atabarrok,"Tabarrok, Alexander"
gemmatetlow,"Tetlow, Gemma Charlotte"
torrespreciado,"Torres Preciado, Víctor Hugo"
rotabori,"Taborda, Rodrigo"
dwtevelde,"te Velde, Dirk Willem"
dtortarolo,"Tortarolo, Dario"
yamintadjeddine,"Tadjeddine, Yamina"
r_thaler,"Thaler, Richard"
orhantorul,"Torul, Orhan"
inhouseconomist,"Tagat, Anirudh"
alextheloudis,"Theloudis, Alexandros"
daly1704,"Trabelsi, Mohamed Ali"
yukitakahashi11,"Takahashi, Yuki"
pierretherond,"Thérond, Pierre-Emmanuel"
chtraxler,"Traxler, Christian"
takekan,"Takeuchi, Kan"
othevenon,"Thévenon, Olivier"
xftrebbi,"Trebbi, Francesco"
sashatalavera,"Talavera, Oleksandr"
emmathibault,"Thibault, Emmanuel"
nedat,"Trifkovic, Neda"
cecilio31,"Tamarit, Cecilio"
markthoma,"Thoma, Mark"
libmsu,"Trivedi, Mayank"
heiwai_tang,"Tang, Heiwai"
james_tierney,"Tierney, James Edward"
paul_tsasa,"Tsasa, Jean-Paul"
jp_tang,"Tang, John"
tinn_katrin,"Tinn, Katrin"
tube_of_sand,"Tubeuf, Sandy"
stephen_tapp,"Tapp, Stephen"
JeanTirole,"Tirole, Jean"
micheletuccio,"Tuccio, Michele"
atecon1,"Tarassow, Artur"
etjernst,"Tjernstrom, Emilia"
tuestadavid,"Tuesta, David"
finnsangle,"Tarp, Finn"
santiagotobon,"Tobón, Santiago"
semihtumen,"Tumen, Semih"
yashar_tarverdi,"Tarverdi, Yashar"
thiaru,"Toepfer, Ralf"
cengiz_tunc,"Tunc, Cengiz"
temeltaskin,"Taskin, Temel"
richardtol,"Tol, Richard"
ibrahimmturhan2,"Turhan, Ibrahim"
EconomicsOne,"Taylor, John"
trevortombe,"Tombe, Trevor"
arthurturrell,"Turrell, Arthur Edward"
lindsaytedds,"Tedds, Lindsay"
mircotonin,"Tonin, Mirco"
htuy,"Tuy, Héctor"
ernietedeschi,"Tedeschi, Ernie"
da8to,"Tori, Daniele"
erdal_tekin_,"Tekin, Erdal"
sthetland,"Torregrosa-Hetland, Sara"
ubedapaloma,"Ubeda, Paloma"
martinuebele,"Uebele, Martin"
e_urias,"Urias, Eduardo"
angelubide,"Ubide, Angel"
mehmetulubasogl,"Ulubasoglu, Mehmet Ali"
jorgemariouribe,"Uribe, Jorge"
dubilava,"Ubilava, David"
jeemolunni,"Unni, Jeemol"
farazusmani,"Usmani, Faraz"
patricioeugenio,"Valdivieso, Patricio"
dvkvarma,"Varma, Vijaya Krushna"
vvicard,"Vicard, Vincent"
arnauvaes,"Valladares-Esteban, Arnau"
dvaroutas,"Varoutas, Dimitris"
aviceisza,"Viceisza, Angelino"
ivalodia,"Valodia, Imraan"
j_vechbany,"Vechbanyongratana, Jessica"
edouardvidon,"Vidon, Edouard"
bjvca,"Van Campenhout, Bjorn"
cuginoid,"Veneziani, Mario"
larsvil,"Vilhuber, Lars"
nicvdsijpe,"Van de Sijpe, Nicolas"
miroslavverbic,"Verbic, Miroslav"
juanmvilla,"Villa, Juan Miguel"
jobvanexel,"van Exel, Job"
gvermandel,"Vermandel, Gauthier"
favillagomez,"Villagomez, Alejandro"
chvanhoutven,"Van Houtven, Courtney Harold"
pverme,"Verme, Paolo"
mauriciovillam,"Villamizar-Villegas, Mauricio"
djvanness,"Vanness, David John"
marco_v_p,"Veronese Passarella, Marco"
sebvillemot,"Villemot, Sébastien"
johnvanreenen,"van Reenen, John Michael"
jvespignani,"Vespignani, Joaquin"
drchaiporn,"Vithessonthi, Chaiporn"
vruijven,"van Ruijven, Bas"
nielsvester,"Vestergaard, Niels"
jonasvlachos,"Vlachos, Jonas"
nicvanzee,"van Zeebroeck, Nicolas"
roinevestman,"Vestman, Roine"
dietzvollrath,"Vollrath, Dietrich"
attilalvarga,"Varga, Attila"
stanveuger,"Veuger, Stan"
volosovych,"Volosovych, Vadym"
carminaovargas,"Vargas, Carmina"
luiginomics,"Vézina, Pierre-Louis"
juanf_vargas,"Vargas, Juan Fernando"
vialenet,"Viale, Ariel Marcelo"
jameswabenga,"Wabenga Yango, James"
dougwebberecon,"Webber, Douglas"
roberton3will,"Williams, Roberton C. III"
km_wacker,"Wacker, Konstantin"
alfonsj64,"Weichenrieder, Alfons"
twilliams8,"Williams, Tomas"
hanneswagner,"Wagner, Hannes"
went1955,"Went, Robert"
1954swilliamson,"Williamson, Stephen"
liam_wagner,"Wagner, Liam David"
justuswesseler,"Wesseler, Justus"
bartwilson,"Wilson, Bart"
prof_m_wagner,"Wagner, Marcus"
joakimw,"Westerholm, P. Joakim"
soclgy,"Winter, Fabian"
adamw2011,"Wagstaff, Adam"
willwheels,"Wheeler, William"
jenwinter_yyc,"Winter, Jennifer"
wparag,"Waknis, Parag"
whelankarl,"Whelan, Karl"
timothywojan,"Wojan, Timothy Richard"
margaretwalls1,"Walls, Margaret"
financejosh,"White, Joshua Tyler"
justinwolfers,"Wolfers, Justin"
ojwalther,"Walther, Olivier J"
tkirkwhite,"White, T. Kirk"
scwolla,"Wolla, Scott"
econzach,"Ward, Zachary"
whitefordpeter,"Whiteford, Peter Bernard"
wongkoinyen,"Wong, Koi Nyen"
thierry_warin,"Warin, Thierry"
johnwhitehead81,"Whitehead, John"
