twitter,name
ojblanchard1,"Blanchard, Olivier J"
krrrcks,"Brunner, Daniel"
remibaz,"Bazillier, Remi"
d_blanchflower,"Blanchflower, David"
markuseconomist,"Brunnermeier, Markus"
leonardobecchet,"Becchetti, Leonardo"
emiliofblanco,"Blanco, Emilio Fernando"
erikbryn,"Brynjolfsson, Erik"
lassebecker,"Becker, Lasse"
yblascom,"Blasco-Martel, Yolanda"
alexanderbryson,"Bryson, Alex"
essobecker,"Becker, Sascha"
cblatts,"Blattman, Christopher"
kasey_buckles,"Buckles, Kasey"
jodiecongirl,"Beggs, Jodi Nicole"
marlon_boarnet,"Boarnet, Marlon"
johnwbudd,"Budd, John"
sophiebejean,"Béjean, Sophie"
nunoboavida,"Boavida, Nuno Filipe França Gouveia"
jcbuggle,"Buggle, Johannes Christoph"
gebelque,"Bel, Germà"
ibobel,"Böbel, Ingo"
sbuhai,"Buhai, Ioan Sebastian"
lpbeland,"Beland, Louis-Philippe"
johannesmboehm,"Boehm, Johannes"
gabrielburdin,"Burdín, Gabriel"
abelgo_optimum,"Belgodere, Antoine"
peterboettke,"Boettke, Peter"
burke_ec,"Burke, Paul"
peternbell,"Bell, Peter Newton"
fbogliacino,"Bogliacino, Francesco"
fburlig,"Burlig, Fiona"
marcfbellemare,"Bellemare, Marc"
rboheim,"Böheim, René"
matt_bussiere,"Bussiere, Matthieu"
agnesbq1,"Benassy-Quere, Agnès"
micheleboldrin,"Boldrin, Michele"
kbuzard7,"Buzard, Kristy"
benchimolium,"Benchimol, Jonathan"
fbonaglia,"Bonaglia, Federico"
tornqvist999,"Byrne, David Michael"
gcaballeroo,"Caballero Orozco, Gustavo Adolfo"
estu_c,"Cevallos Uve, Gabriel Estuardo"
ajcollart,"Collart, Alba"
cabralestweet,"Cabrales, Antonio"
rafcezarr,"Cezar, Rafael"
aidthoughts,"Collin, Matthew Edward"
cagejulia,"Cagé, Julia"
lekhachakrborty,"Chakraborty, Lekha"
jasonacollins,"Collins, Jason"
economhipster,"Cahn, Christophe"
areendam_c,"Chanda, Areendam"
cliochris,"Colvin, Christopher Louis"
leighblue,"Caldwell, Leigh"
freakonometrics,"Charpentier, Arthur"
mariosa_com,"Comunale, Mariarosaria"
enriquecalfucur,"Calfucura, Enrique"
cleocz,"Chassonnery-Zaïgouche, Cléo"
conderuiz,"Conde-Ruiz, J. Ignacio"
grayclhn,"Calhoun, Gray"
p_chatterjee,"Chatterjee, Partha"
davide_consoli,"Consoli, Davide"
m_callenes,"Callenes, Mercedez"
midwestjoyce,"Chen, Joyce"
afconstant299,"Constant, Amelie"
adcamach,"Camacho, Adriana"
xcyale,"Chen, Xi"
mihneaconst,"Constantinescu, Mihnea"
maximo_camacho,"Camacho, Maximo"
zhuo_adam_chen,"Chen, Zhuo Adam"
gabri_elle76,"Conti, Gabriella"
sebastian_cg1,"Camarero Garcia, Sebastian"
undercoverhist,"Cherrier, Beatrice"
drlisadcook,"Cook, Lisa"
tradeandmoney,"Campbell, Douglas"
uaeeconomist,"Chilton, John Blackwell"
mikecoonomics,"Coon, Michael"
jamesdcamp,"Campbell, James David"
menzie_chinn,"Chinn, Menzie"
SBarryCooper,"Cooper, S. Barry"
_stuartcampbell,"Campbell, Stuart"
mchiroleua,"Chiroleu-Assouline, Mireille"
conradcopeland,"Copeland, Conrad"
naurocampos,"Campos, Nauro"
dave_chivers,"Chivers, David"
milescorak,"Corak, Miles"
rmcamposvazquez,"Campos-Vazquez, Raymundo Miguel"
johanna_econ,"Choumert-Nkolo, Johanna"
lcoroneo,"Coroneo, Laura"
massimocanali3,"Canali, Massimo"
chr_mich,"Christl, Michael"
matteocoronese,"Coronese, Matteo"
blogageco,"Candau, Fabien"
ericchyn,"Chyn, Eric"
fcorreamautz,"Correa, Felipe"
c_cantore,"Cantore, Cristiano"
stevecicala,"Cicala, Steve"
joancostaifont,"Costa-i-Font, Joan"
capelleblancard,"Capelle-Blancard, Gunther"
alejandrocid_uy,"Cid, Alejandro"
virginiecouder1,"Coudert, Virginie"
cmoncap,"Capra, C. Monica"
victorclaar,"Claar, Victor"
jcs_mbf,"Couppey-Soubeyran, Jézabel"
sancapraro,"Capraro, Santiago"
kenclarkecon,"Clark, Ken"
alfredocoutino,"Coutino, Alfredo"
scarboval,"Carbo Valverde, Santiago"
nycgeoff,"Clarke, Geoffrey"
enriquecovar,"Covarrubias, Enrique"
jillianbcarr,"Carr, Jillian"
kclausing,"Clausing, Kimberly"
dianecoyle1859,"Coyle, Diane"
ccarraro_unive,"Carraro, Carlo"
m_clem,"Clemens, Michael"
bill_craighead,"Craighead, William"
carsjam33,"Carson, Jamie"
sofronclerides,"Clerides, Sofronis"
leecrawfurd,"Crawfurd, Lee Martin"
cartwright_e,"Cartwright, Edward John"
dclingi,"Clingingsmith, David Lawrence"
zscsere,"Csereklyei, Zsuzsanna"
freddykastro,"Castro, Freddy"
paulclist,"Clist, Paul"
causalinf,"Cunningham, Anthony Scott"
bcasulukac,"Casu, Barbara"
alexcobham,"Cobham, Alex"
curriealder,"Currie-Alder, Bruce"
loucattani,"Cattani, Luca"
sarahcohodes,"Cohodes, Sarah"
jimcust,"Cust, James"
cawley_john,"Cawley, John"
fabricolella,"Colella, Fabrizio"
economicthought,"Cerqueira, Hugo Eduardo Araujo da Gama"
estebancolla,"Colla-De-Robertis, Esteban"
mjdalbianco,"Dal Bianco, Marcos Jose"
ldenant,"Denant-Boèmont, Laurent"
wdoerner,"Doerner, William"
jdamijan,"Damijan, Joze"
m_de_nardi,"De Nardi, Mariacristina"
takero_doi,"Doi, Takero"
giammacco,"Daniele, Gianmarco"
jeffdenning,"Denning, Jeffrey"
jenniferdoleac,"Doleac, Jennifer"
sdanthine,"Danthine, Samuel"
kevindenny,"Denny, Kevin John"
jdolmas,"Dolmas, Jim"
tdarcillon,"Darcillon, Thibault"
jondequidt,"de Quidt, Jonathan"
rdomenechv,"Domenech, Rafael"
sandydarity,"Darity, William Alexander"
gderasse,"de Rassenfosse, Gaetan"
heldehdom,"Domingos, Helde"
upendra900,"Das, Ram Upendra"
dderigo,"de Rigo, Daniele"
karinadoorley,"Doorley, Karina"
cdaude,"Daude, Christian"
maxime_dt,"Desmarais-Tremblay, Maxime"
dorfmanjeffrey,"Dorfman, Jeffrey"
anda__david,"David, Anda Mariana"
blog_m,"Dewenter, Ralf"
mafinidosso,"Dosso, Mafini"
sincdavidson,"Davidson, Sinclair"
africaeconomist,"De Wit, Martin Petrus"
benoitdos,"Dostie, Benoit"
andresdeanc,"Dean, Andrés"
dhanarajsowmya,"Dhanaraj, Sowmya"
econecho,"Dougherty, Sean"
guidodeblasio,"de Blasio, Guido"
diazfabioandres,"Díaz, Fabio Andrés"
elidourado,"Dourado, Eli"
updatedpriors,"Decker, Ryan"
adiazescobar,"Diaz Escobar, Ana Maria"
jonasdovern,"Dovern, Jonas"
thomas_s_dee,"Dee, Thomas"
jorge_lanchas,"Diaz-Lanchas, Jorge"
drago_carlo,"Drago, Carlo"
pdegrauwe,"De Grauwe, Paul"
fjdiazlopez,"Diaz Lopez, Fernando Javier"
td_econ,"Drechsel, Thomas"
sdehmej,"Dehmej, Salim"
mattdickson__,"Dickson, Matt"
adrihout,"Drichoutis, Andreas"
rafadehoyos,"De Hoyos, Rafael"
francisdiebold,"Diebold, Francis"
dridich,"Dridi, Chokri"
phildelacote,"Delacote, Philippe"
alexanderdilger,"Dilger, Alexander"
droege_s,"Dröge, Susanne"
liamdelaneyecon,"Delaney, Liam"
eugen_dimant,"Dimant, Eugen"
bducoudre,"Ducoudré, Bruno"
aldelatte,"Delatte, Anne-Laure"
tradediversion,"Dingel, Jonathan Ivan"
marc_duhamel,"Duhamel, Marc"
mardelgiu,"Della Giusta, Marina"
aledinola,"Di Nola, Alessandro"
sdullien,"Dullien, Sebastian"
juan_de_lucio,"de Lucio, Juan José"
dippoliti,"D'Ippoliti, Carlo"
dupaspascaline,"Dupas, Pascaline"
n_demarcellis,"de Marcellis-Warin, Nathalie"
davdittrich,"Dittrich, Dennis Alexis Valin"
durrobert,"Dur, Robert"
mariademertzis,"Demertzis, Maria"
abdelkaderdjefl,"Djeflat, Abdelkader"
tomaso_duso,"Duso, Tomaso"
pdemetriades,"Demetriades, Panicos"
iulianbd,"Dobra, Iulian Bogdan"
dynarski,"Dynarski, Susan Marie"
ademirguckunt,"Demirguc-Kunt, Asli"
mdoepke,"Doepke, Matthias"
tonydziepak,"Dziepak, Anthony Edward"
bill_easterly,"Easterly, William"
maxwellekor,"Ekor, Maxwell"
orhan_erdem,"Erdem, Orhan"
medevecon,"Eberhardt, Markus"
elialeandro,"Elia, Leandro"
veescudero_,"Escudero, Verónica"
florianederer,"Ederer, Florian"
robertjrelliott,"Elliott, Robert J R"
dennisessers,"Essers, Dennis"
ncwaterecon,"Edwards, Eric"
cellis212,"Ellis, Cameron McNeill"
festrada03,"Estrada, Fernando"
ryanbedwards,"Edwards, Ryan"
elm001,"El Makhloufi, Abdel"
ivan_etzo,"Etzo, Ivan"
egbetokun,"Egbetokun, Abiodun"
ben_elsner,"Elsner, Benjamin"
anthonyjevans,"Evans, Anthony"
echtesevchen,"Egger, Eva-Maria"
johannesemm,"Emmerling, Johannes"
tukopamoja,"Evans, David"
B_Eichengreen,"Eichengreen, Barry Julian"
Prof_RobEngle,"Engle, Robert F. III"
evansclopedia,"Evans, Olaniyi"
cekizceleroglu,"Ekizceleroglu, Caner"
mircea_epure,"Epure, Mircea"
johannafg,"Fajardo-Gonzalez, Johanna"
jl_ferr,"Ferreira, José Luis"
cmlrqn,"Forte, Giuseppe"
ffallucchi,"Fallucchi, Francesco"
maufiaschetti,"Fiaschetti, Maurizio"
robertocarlosf,"Fortich, Roberto"
deanfantazzini,"Fantazzini, Dean"
elliefichera,"Fichera, Eleonora"
mogens_fosgerau,"Fosgerau, Mogens"
Andre_Farber,"Farber, André"
f_fichtner,"Fichtner, Ferdinand"
sebafossati,"Fossati, Sebastian"
mfariacastro,"Faria-e-Castro, Miguel"
luis_fierro_eco,"Fierro, Luis Alberto"
lucia_econ,"Foster, Lucia Smith"
farmerrf,"Farmer, Roger E."
garevna,"Filippova, Irina Harry"
raphael__franck,"Franck, Raphael"
amfasolo,"Fasolo, Angelo Marsiglia"
mfilko,"Filko, Martin"
laurentfranckx,"Franckx, Laurent"
antoniofatas,"Fatas, Antonio"
robertfinger1,"Finger, Robert"
afrancoc,"Franco Correa, Andrea"
enriquefatas,"Fatas, Enrique"
fischr_,"Fischer, Christian"
jfrankelecon,"Frankel, Jeffrey Alexander"
s_fedoseeva,"Fedoseeva, Svetlana"
fitjar,"Fitjar, Rune Dahl"
ugofratesi,"Fratesi, Ugo"
dietmarfehr,"Fehr, Dietmar"
annefitz13,"Fitzpatrick, Anne"
mfratzscher,"Fratzscher, Marcel"
jamesfeigenbaum,"Feigenbaum, James"
jfiva,"Fiva, Jon"
sebafreille,"Freille, Sebastian"
ffelgueroso,"Felgueroso, Florentino"
sebafle,"Fleitas, Sebastian"
willafriedman,"Friedman, Willa Helterline"
thomasfent,"Fent, Thomas"
ekfletch,"Fletcher, Erin Kathleen"
frijterspaul,"Frijters, Paul"
leopoldotweets,"Fergusson, Leopoldo"
barterisevil,"Flynn, David"
wfrimmel,"Frimmel, Wolfgang"
econophysicslab,"Fernandez Bariviera, Aurelio"
foley_kelly,"Foley, Kelly"
furtadobb,"Furtado, Bernardo Alves"
ferraralaurent,"Ferrara, Laurent"
raquel73fonseca,"Fonseca, Raquel"
salimfurth,"Furth, Salim"
claudferraz,"Ferraz, Claudio"
forster_felix,"Forster, Felix"
paulogala,"Gala, Paulo"
marekgiebel,"Giebel, Marek"
c2granda,"Granda Carvajal, Catalina"
galimberti_jk,"Galimberti, Jaqueson Kingeski"
timufr,"Gigout Magiorani, Timothee"
c0ntributary,"Grant, Laura"
matteo_galizzi,"Galizzi, Matteo M"
DEAGiles,"Giles, David E."
brigranville,"Granville, Brigitte Evelyne"
seba_gallegos,"Gallegos, Sebastian"
robgillanders,"Gillanders, Robert"
